run,n,cls,epoch,edit,overall,index,type,err_type_only,err_index_only,err_both,typ_break,typ_fix,partner_frac
d61_seed6,61,B,3000,surgical,0.304824,0.314432,0.665278,0.013820,0.518508,0.467672,0.045888,0.047501,0.013177
d61_seed6,61,B,3000,noise_only,0.305160,0.314768,0.662120,0.013827,0.513731,0.472442,0.022104,0.020559,0.026698
d61_seed6,61,B,5000,base,0.306772,0.316246,0.665950,0.013665,0.518124,0.468211,,,
d61_seed6,61,B,5000,surgical,0.306974,0.316649,0.661650,0.013960,0.511779,0.474261,0.046896,0.042596,0.020057
d61_seed6,61,B,5000,noise_only,0.306817,0.316492,0.665368,0.013957,0.517252,0.468791,0.021029,0.020447,0.025817
d61_seed6,61,B,7000,base,0.311946,0.323838,0.664606,0.017283,0.512548,0.470169,,,
d61_seed6,61,B,7000,surgical,0.311475,0.323367,0.663598,0.017272,0.511417,0.471311,0.040379,0.039371,0.024958
d61_seed6,61,B,7000,noise_only,0.311431,0.322987,0.662815,0.016782,0.510311,0.472907,0.019193,0.017401,0.034069
d61_seed6,61,B,9000,base,0.323770,0.336133,0.688793,0.018281,0.539791,0.441927,,,
d61_seed6,61,B,9000,surgical,0.323166,0.336200,0.685703,0.019257,0.535636,0.445106,0.044612,0.041521,0.037651
d61_seed6,61,B,9000,noise_only,0.323636,0.336245,0.688704,0.018642,0.539751,0.441608,0.020604,0.020514,0.035900
d61_seed8,61,A,3000,base,0.314432,0.314633,0.976754,0.000294,0.966092,0.033614,,,
d61_seed8,61,A,3000,surgical,0.300927,0.306033,0.625437,0.007304,0.464200,0.528496,0.351317,0.000000,0.012239
d61_seed8,61,A,3000,noise_only,0.280099,0.280525,0.967751,0.000591,0.955203,0.044206,0.017760,0.008757,0.020431
d61_seed8,61,A,5000,base,0.325517,0.325786,0.977694,0.000398,0.966929,0.032673,,,
d61_seed8,61,A,5000,surgical,0.300860,0.307444,0.597958,0.009418,0.424947,0.565635,0.379737,0.000000,0.014154
d61_seed8,61,A,5000,noise_only,0.284758,0.285161,0.969475,0.000564,0.957330,0.042106,0.017334,0.009115,0.018387
d61_seed8,61,A,7000,base,0.346748,0.346815,0.980449,0.000103,0.970071,0.029826,,,
d61_seed8,61,A,7000,surgical,0.309930,0.316447,0.597756,0.009444,0.417097,0.573459,0.382760,0.000067,0.014218
d61_seed8,61,A,7000,noise_only,0.305765,0.306078,0.969408,0.000452,0.955940,0.043608,0.018924,0.007883,0.026911
d61_seed8,61,A,9000,base,0.385515,0.385582,0.981927,0.000109,0.970588,0.029302,,,
d61_seed8,61,A,9000,surgical,0.326592,0.332236,0.596479,0.008381,0.400778,0.590841,0.385447,0.000000,0.013073
d61_seed8,61,A,9000,noise_only,0.327331,0.327533,0.969968,0.000299,0.955374,0.044328,0.019014,0.007055,0.008887
d61_seed9,61,B,3000,base,0.303480,0.308788,0.654327,0.007620,0.503714,0.488666,,,
d61_seed9,61,B,3000,surgical,0.303346,0.308721,0.654864,0.007715,0.504581,0.487704,0.045687,0.046224,0.010294
d61_seed9,61,B,3000,noise_only,0.303458,0.308654,0.652871,0.007459,0.501640,0.490901,0.021074,0.019618,0.018132
d61_seed9,61,B,5000,base,0.304354,0.308721,0.660508,0.006278,0.511976,0.481746,,,
d61_seed9,61,B,5000,surgical,0.304219,0.308519,0.662927,0.006180,0.515547,0.478273,0.037288,0.039707,0.009009
d61_seed9,61,B,5000,noise_only,0.304443,0.308743,0.660642,0.006182,0.512106,0.481712,0.017513,0.017648,0.015326
d61_seed9,61,B,7000,base,0.307847,0.311408,0.667092,0.005145,0.519025,0.475830,,,
d61_seed9,61,B,7000,surgical,0.308385,0.311946,0.670519,0.005149,0.523606,0.471245,0.039774,0.043201,0.010135
d61_seed9,61,B,7000,noise_only,0.307915,0.311386,0.666241,0.005016,0.517749,0.477235,0.020492,0.019641,0.018618
